,스테이션명,위치,상태정보,위도,경도
77,중리동(하나로병원), 대덕구 중리동 107-8 ,정상,36.363177, 127.431284
78,수도시설관리사업소, 대덕구 중리동 118-12 ,정상,36.362097, 127.435540
79,송촌소방서, 대덕구 송촌동 539 ,정상,36.362853, 127.438697
80,동춘당공원, 대덕구 송촌동 192-2 ,정상,36.364663, 127.440966
81,선비마을5단지, 대덕구 송촌동 510 ,정상,36.366036, 127.444872
82,유평초등학교, 중구 태평동 254-15 ,정상,36.330654, 127.398255
83,강남한의원, 중구 태평2동 2409-21 ,정상,36.326242, 127.392813
84,태평1동주민센터, 중구 태평동 331-41 ,정상,36.326129, 127.396967
85,삼부프라자, 중구 태평2동 2395-1 ,정상,36.323268, 127.393631
86,쌍용예가아파트, 중구 유천동 198-15 ,정상,36.322555, 127.397450
87,태평초등학교, 중구 유천동 319-1 ,정상,36.321427, 127.394006
88,버드내초등학교, 중구 태평동 422-33 ,정상,36.319780, 127.392413
89,유등교, 중구 유천동 338-13 ,정상,36.316016, 127.387403
90,버드내네거리, 중구 유천동 306-18 ,정상,36.316915, 127.392467
91,서대전농협, 중구 유천동 308-7 ,정상,36.317900, 127.394698
92,서대전육교, 중구 유천동 186-7 ,정상,36.318940, 127.400393
93,미리내아파트, 동구 판암동 451-10 ,정상,36.316962, 127.454608
94,판암역 2번출구, 동구 판암동 323-2 ,정상,36.316705, 127.458342
95,판암역 4번출구, 동구 판암동 303-25 ,정상,36.317217, 127.459050
96,가오고등학교, 동구 가오동 465 ,정상,36.310388, 127.455611
97,은어송마을입구, 동구 가오동 217-4 ,정상,36.305423, 127.454544
98,홈플러스 가오점(건너편), 동구 가오동 644 ,정상,36.306694, 127.456829
99,홈플러스 가오점, 동구 가오동 552 ,정상,36.306988, 127.457129
100,은어송마을4단지, 동구 가오동 555 ,정상,36.310061, 127.461458
101,은어송마을2단지, 동구 대성동 130-1 ,정상,36.303717, 127.457698
102,대전남부여성가족원, 동구 가오동 559-1 ,정상,36.302116, 127.459836
103,국립중앙과학관, 유성구 가정동 54-4 ,정상,36.375206, 127.378122
104,카이스트 서쪽 쪽문, 유성구 구성동 23 ,정상,36.364177, 127.358845
105,카이스트 다솜관, 유성구 구성동 23 ,정상,36.367989, 127.356852
106,카이스트 세종관, 유성구 구성동 23 ,정상,36.370768, 127.366645
107,목원대학교 입구, 유성구 용계동 664-4 ,정상,36.331955, 127.337932
108,서부농협본점, 서구 탄방동 1455 ,정상,36.342378, 127.387671
109,용문네거리(용문역 3번출구), 서구 용문동 594-10 ,정상,36.337569, 127.392091
110,순복음교회(수침교), 서구 용문동 249-11 ,정상,36.335726, 127.396603
111,나르메아파트 길건너, 서구 가장동 45-8 ,정상,36.331931, 127.385353
112,가장교(성은사), 서구 가장동 31-7 ,정상,36.328502, 127.388001
113,태평동성당, 중구 태평동 346-1 ,정상,36.329742, 127.396777
114,한전 대전세종충남지역본부(건너편), 동구 용전동 45-1 ,정상,36.357491, 127.434317
115,홈플러스(동대전점), 동구 용전동 51-17 ,정상,36.355236, 127.436793
116,동부네거리, 동구 용전동 111-26 ,정상,36.350657, 127.440408
117,복합터미널, 동구 용전동 143-16 ,정상,36.348576, 127.435076
118,용전동 천주교회, 동구 용전동 144-1 ,정상,36.349520, 127.432759
119,한국통신 용전지점, 동구 용전동 167-20 ,정상,36.353089, 127.432190
120,용전네거리(하나은행), 동구 용전동 44-2 ,정상,36.347143, 127.431512
121,한남대후문 입구, 대덕구 중리동 231-5 ,정상,36.358613, 127.422690
122,구)대덕경찰서(문평동), 대덕구 문평동 83-2 ,정상,36.446304, 127.406676
123,목상동주민센터, 대덕구 목상동 185-1 ,정상,36.449254, 127.412893
124,엑슬루타워, 대덕구 석봉동 336 ,정상,36.449253, 127.420131
125,신탄진동주민센터, 대덕구 신탄진동 120-1 ,정상,36.451985, 127.428870
126,신탄진역, 대덕구 신탄진동 147-6 ,정상,36.448623, 127.429218
127,과선교버스정류장, 대덕구 평촌동 264-64 ,정상,36.443026, 127.429476
128,신탄진고네거리, 대덕구 신탄진동 149-6 ,정상,36.448584, 127.435822
129,용정초등학교, 대덕구 신탄진동 52-1 ,정상,36.454126, 127.436877
130,에코공원, 대덕구 신탄진동 산1-7 ,정상,36.448772, 127.444365
131,삼정삼거리, 대덕구 삼정동 산27-4 ,정상,36.449611, 127.456706
132,오룡역 7번출구, 중구 용두동 113-12 ,정상,36.328727, 127.405846
133,중도일보, 중구 오류동 175-3 ,정상,36.326058, 127.407828
134,서대전역네거리, 중구 오류동 168-7 ,정상,36.320688, 127.405947
135,중구청역 1번출구(중구청의회), 중구 대흥동 499-1 ,Network 에러,36.325652, 127.420844
136,센트럴파크(302동), 중구 문화동 1-256 ,정상,36.318380, 127.411655
137,센트럴파크(105동), 중구 문화동 284-168 ,정상,36.316476, 127.407345
138,서대전네거리역 3번출구, 중구 오류동 152-5 ,정상,36.322248, 127.411462
139,대전시민대학 정문, 중구 선화동 287-2 ,정상,36.328146, 127.420741
140,대전세무서, 중구 선화동 184-1 ,정상,36.330667, 127.419393
141,선화참좋은아파트(유안타증권), 중구 선화동 83-1 ,정상,36.331535, 127.422493
142,중앙로역 3번출구, 중구 대흥동 198-1 ,정상,36.327826, 127.426281
143,타슈 관제센터, 유성구 원촌동 76-1 ,정상,36.388966, 127.409699
144,도안 호반베르디움(201동), 유성구 봉명동 972 ,정상,36.349006, 127.347529
145,도안 호반베르디움(101동), 서구 가수원동 394 ,정상,36.311886, 127.346868
146,도안 계룡리슈빌(1704동), 서구 도안동 1370 ,정상,36.316395, 127.345216
147,도안 금성백조(701동), 유성구 봉명동 1038-1 ,정상,36.348233, 127.344519
148,도안 트리풀시티5단지(509동), 유성구 상대동 495 ,정상,36.345701, 127.338892
149,도안 우미린(1806동), 서구 가수원동 1363 ,정상,36.312414, 127.349936
150,우송대 정문(건너편), 동구 자양동 58-12 ,정상,36.337017, 127.447794
151,대전역(대한통운 맞은편), 동구 정동 15-23 ,정상,36.332220, 127.432054
152,대동역 4번출구, 동구 대동 148-112  ,정상,36.329613, 127.442446
153,한남오거리, 대덕구 오정동 731 ,정상,36.347978, 127.416389
154,오정동 운암빌딩, 대덕구 오정동 61-13  ,정상,36.358455, 127.411245
155,(공사중)중촌네거리(목동우체국 방면), 중구 중촌동 398-14 ,정상,36.335960, 127.414904
156,중촌초등학교(건너편), 중구 중촌동 462 ,정상,36.340677, 127.410626
157,전자통신연구원, 유성구 가정동 160-2  ,정상,36.383768, 127.367154
158,연구단지네거리, 유성구 도룡동 393-2  ,정상,36.385478, 127.376913
159,연구단지운동장(건너편), 유성구 신성동 108-2 ,정상,36.385521, 127.353928
160,연구단지 KT_G(건너편), 유성구 신성동 산19-3  ,정상,36.384695, 127.348674
161,송강체육관, 유성구 송강동 200-2  ,정상,36.431581, 127.387340
162,송강초등학교, 유성구 송강동 199 ,정상,36.433066, 127.384100
163,롯데마트(관평점), 유성구 관평동 1286 ,정상,36.427714, 127.387394
164,배울네거리, 유성구 관평동 912 ,정상,36.421997, 127.387590
165,인동네거리, 동구 인동 116-18 ,정상,36.321929, 127.437948
166,원동네거리, 동구 원동 36-1 ,정상,36.326922, 127.434912
167,성남네거리, 동구 성남동 50-1 ,정상,36.341011, 127.435647
168,삼성네거리, 동구 삼성동 112-1 ,정상,36.336377, 127.430264
169,대전고오거리, 중구 대흥동 320-2 ,정상,36.322841, 127.424127
170,대흥네거리, 중구 대흥동 173-5 ,정상,36.323695, 127.428648
171,부사네거리, 중구 부사동 129-5 ,정상,36.313281, 127.434005
172,무지개아파트, 서구 월평동 298 ,정상,36.357935, 127.377080
173,가수원네거리(전통시장 입구), 서구 가수원동 764-11 ,정상,36.304949, 127.352992
174,건양대네거리, 서구 관저동 999 ,정상,36.302355, 127.339827
175,관저2동주민센터, 서구 관저동 1104 ,정상,36.299304, 127.334978
176,관저1동주민센터, 서구 관저동 999-3 ,정상,36.303811, 127.337174
177,노은역 3번출구, 유성구 지족동 901-5 ,정상,36.374368, 127.317980
178,반석역 1번출구, 유성구 반석동 694 ,정상,36.391242, 127.314932
179,(공사중)전민동주민센터(건너편), 유성구 전민동 304-5 ,정상,36.399535, 127.401538
180,엑스포아파트4단지(건너편), 유성구 전민동 385-8 ,정상,36.396557, 127.404773
181,한밭대 입구, 유성구 덕명동 16-1 ,정상,36.349941, 127.297135
182,현충원역 3번출구, 유성구 구암동 424-67 ,정상,36.359526, 127.320935
183,오정우체국(건너편), 대덕구 오정동 432-4 ,정상,36.352567, 127.415543
184,비래동 산림조합, 대덕구 비래동 123-7 ,정상,36.355131, 127.446021
